no,province,provinceID,district,districtID,neighborhood,neighborhoodID
214,Amasya,27,Gümüşhacıköy,154,Kılıçaslan Köyü,152666
215,Amasya,27,Gümüşhacıköy,154,Kırca Köyü,155748
216,Amasya,27,Gümüşhacıköy,154,Kızık Köyü,152916
217,Amasya,27,Gümüşhacıköy,154,Kızılca Köyü,155484
218,Amasya,27,Gümüşhacıköy,154,Kiziroğlu Köyü,155567
219,Amasya,27,Gümüşhacıköy,154,Koltuk Köyü,134948
220,Amasya,27,Gümüşhacıköy,154,Konuktepe Köyü,134836
221,Amasya,27,Gümüşhacıköy,154,Korkut Köyü,154577
222,Amasya,27,Gümüşhacıköy,154,Köseler Köyü,153784
223,Amasya,27,Gümüşhacıköy,154,Kutluca Köyü,155760
224,Amasya,27,Gümüşhacıköy,154,Kuzalan Köyü,154069
225,Amasya,27,Gümüşhacıköy,154,Ovabaşı Köyü,133770
226,Amasya,27,Gümüşhacıköy,154,Pusacık Köyü,154706
227,Amasya,27,Gümüşhacıköy,154,Sallar Köyü,134804
228,Amasya,27,Gümüşhacıköy,154,Saray,134683
229,Amasya,27,Gümüşhacıköy,154,Saraycık Köyü,135090
230,Amasya,27,Gümüşhacıköy,154,Sarayözü Köyü,154104
231,Amasya,27,Gümüşhacıköy,154,Sekü Köyü,134837
232,Amasya,27,Gümüşhacıköy,154,Şıhlar,205878
233,Amasya,27,Gümüşhacıköy,154,Tekke,205879
234,Amasya,27,Gümüşhacıköy,154,Yazıyerı Köyü,157313
235,Amasya,27,Gümüşhacıköy,154,Yenicami,205880
236,Amasya,27,Gümüşhacıköy,154,Yeniköy Köyü,203117
237,Amasya,27,Hamamözü,155,Alan Köyü,153548
238,Amasya,27,Hamamözü,155,Arkutbey,155582
239,Amasya,27,Hamamözü,155,Arpaderesi Köyü,157513
240,Amasya,27,Hamamözü,155,Çayköy Köyü,47488
241,Amasya,27,Hamamözü,155,Damladere Köyü,47248
242,Amasya,27,Hamamözü,155,Dede Köyü,153240
243,Amasya,27,Hamamözü,155,Göçeri Köyü,47082
244,Amasya,27,Hamamözü,155,Göl Köyü,153488
245,Amasya,27,Hamamözü,155,Hamamözü,47308
246,Amasya,27,Hamamözü,155,Hamitkaplan,154510
247,Amasya,27,Hamamözü,155,Hıdırlar Köyü,47559
248,Amasya,27,Hamamözü,155,Kızılcaören Köyü,47551
249,Amasya,27,Hamamözü,155,Köprübaşı,155354
250,Amasya,27,Hamamözü,155,Mağraobruğu Köyü,155749
251,Amasya,27,Hamamözü,155,Saray,206529
252,Amasya,27,Hamamözü,155,Sarayözü Köyü,47036
253,Amasya,27,Hamamözü,155,Tekçam Köyü,47142
254,Amasya,27,Hamamözü,155,Tepe Köyü,155735
255,Amasya,27,Hamamözü,155,Umarca Köyü,153447
256,Amasya,27,Hamamözü,155,Yemişen Köyü,47060
257,Amasya,27,Hamamözü,155,Yukarıovacık Köyü,47155
258,Amasya,27,Merzifon,156,Abide Hatun,171294
259,Amasya,27,Merzifon,156,Akören Köyü,155356
260,Amasya,27,Merzifon,156,Akpınar Köyü,155679
261,Amasya,27,Merzifon,156,Aksungur Köyü,153001
262,Amasya,27,Merzifon,156,Aktarla Köyü,153802
263,Amasya,27,Merzifon,156,Alıcık Köyü,155738
264,Amasya,27,Merzifon,156,Alişar Köyü,153190
265,Amasya,27,Merzifon,156,Aşağıbük Köyü,151776
266,Amasya,27,Merzifon,156,Bağlarbaşı,203598
